Indicator,Country,Gender,Year,Val
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,female,2011,232.2
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,female,2012,232.3
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,female,2013,223.5
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,female,2014,219.8
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,female,2015,216.3
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,combined,2008,321.7
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,combined,2009,317.7
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,combined,2010,314.1
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,combined,2011,301.3
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,combined,2012,298.3
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,combined,2013,289.7
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,combined,2014,284.6
(EU) Standardised death rate due to cancer per 100 000 persons,Czech Republic,combined,2015,278.6
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,male,2008,30.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,male,2009,29.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,male,2010,29.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,male,2011,27.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,male,2012,27.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,male,2013,27.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,male,2014,25.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,male,2015,26.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,female,2008,12.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,female,2009,11.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,female,2010,11.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,female,2011,11.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,female,2012,11.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,female,2013,11.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,female,2014,11.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,female,2015,11.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,combined,2008,20.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,combined,2009,19.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,combined,2010,19.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,combined,2011,18.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,combined,2012,18.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,combined,2013,18.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,combined,2014,18.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Czech Republic,combined,2015,18.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,male,2008,440.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,male,2009,424.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,male,2010,413.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,male,2011,458.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,male,2012,446.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,male,2013,455.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,male,2014,415.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,male,2015,416.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,female,2008,299.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,female,2009,291.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,female,2010,269.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,female,2011,303.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,female,2012,300.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,female,2013,302.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,female,2014,275.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,female,2015,276.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,combined,2008,357.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,combined,2009,345.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,combined,2010,328.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,combined,2011,365.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,combined,2012,360.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,combined,2013,364.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,combined,2014,333.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Czech Republic,combined,2015,333.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,male,2008,24.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,male,2009,26.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,male,2010,26.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,male,2011,27.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,male,2012,29.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,male,2013,27.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,male,2014,25.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,male,2015,23.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,female,2008,5.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,female,2009,4.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,female,2010,5.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,female,2011,5.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,female,2012,5.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,female,2013,5.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,female,2014,5.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,female,2015,5.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,combined,2008,14.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,combined,2009,14.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,combined,2010,15.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,combined,2011,15.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,combined,2012,16.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,combined,2013,15.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,combined,2014,14.0
(EU) Standardised death rate due to suicides per 100 000 persons,Czech Republic,combined,2015,13.0
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,male,2008,66.4
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,male,2009,64.4
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,male,2010,63.3
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,male,2011,64.3
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,male,2012,60.5
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,male,2013,59.1
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,male,2014,62.3
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,male,2015,64.0
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,female,2008,30.7
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,female,2009,27.5
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,female,2010,28.5
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,female,2011,29.7
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,female,2012,27.8
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,female,2013,25.9
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,female,2014,27.3
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,female,2015,28.8
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,combined,2008,47.1
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,combined,2009,43.8
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,combined,2010,44.5
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,combined,2011,45.3
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,combined,2012,42.5
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,combined,2013,40.8
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,combined,2014,42.5
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Czech Republic,combined,2015,44.5
(EU) Total fertility rate,Czech Republic,combined,2008,1.5
(EU) Total fertility rate,Czech Republic,combined,2009,1.49
(EU) Total fertility rate,Czech Republic,combined,2010,1.51
(EU) Total fertility rate,Czech Republic,combined,2011,1.43
(EU) Total fertility rate,Czech Republic,combined,2012,1.45
(EU) Total fertility rate,Czech Republic,combined,2013,1.46
(EU) Total fertility rate,Czech Republic,combined,2014,1.53
(EU) Total fertility rate,Czech Republic,combined,2015,1.57
(EU) Total fertility rate,Czech Republic,combined,2016,1.63
(EU) Total hip replacements per 100 000 inhabitants,Czech Republic,combined,2009,167.2
(EU) Total hip replacements per 100 000 inhabitants,Czech Republic,combined,2010,163.4
