Unknown Number of Deaths,0 Deaths,1-50 Deaths,51-100 Deaths,101-1000 Deaths,>1001 Deaths,"Unknown Number of Deaths, lat","Unknown Number of Deaths, lon","0 Deaths, lat","0 Deaths, lon","1-50 Deaths, lat","1-50 Deaths, lon","51-100 Deaths, lat","51-100 Deaths, lon","101-1000 Deaths, lat","101-1000 Deaths, lon",">1001 Deaths, lat",">1001 Deaths, lon"
"China:  Tibet (Xizang Province), 2008",,"Philippines:  Luzon:  Central,S, 1677",,"Pakistan, 1909",,30.901,83.52,,,14.5,120.5,,,30,68,,
"Nevada:  Wells, 2008",,"Japan:  Sanriku,Rikuchu, 1678",,"Costa Rica:  Cartago, San Jose, 1910",,41.153,-114.867,,,38.6,142,,,10,-84,,
"Hawaiian Islands, 2006",,"Japan:  Mimasaka, 1711",,"Iran:  Ravar, 1911",,19.878,-155.935,,,35.5,133,,,31.23,57.03,,
"Cote D'Ivoire:  Abidjan, 1879",,"Japan:  Noto, 1729",,"El Salvador:  San Salvador, 1917",,6.5,-3.3,,,37.5,137,,,13.82,-89.31,,
"Indonesia:  Sulawesi:  Tambu,Coast Of Mapaga, 1968",,"Mexico, 1731",,"Georgia:  Caucasus:  Gori, Tiflis, 1920",,0.2,119.8,,,23,-102,,,42,44.1,,
"Hawaii: Hilo, 1973",,"Colombia:  Popayan, 1735",,"Chile:  Atacama, 1922",,19.936,-155.098,,,2.6,-76.5,,,-28.553,-70.755,,
"Philippines:  N Luzon:  Laoag, 1866",,"Indonesia:  Ambon Island, 1754",,"Iran:  Sirjan, 1923",,18.2,120.6,,,-3.5,128.5,,,29.2,56.9,,
"Venezuela:  Carupano; Antilles:  Grenada,Trinidad, 1888",,"Cuba:  Santiago De Cuba, 1766",,"Japan:  Honshu:  Tajima, 1925",,10.4,-63.1,,,19.9,-76.1,,,35.75,134.75,,
"Uzbekistan:  Tashkent; Kazakhstan:  Turkestan, 1868",,"Mexico:  Guerrero, Acapulco, 1784",,"Iran:  Bajestan, 1925",,41.2,69.6,,,16.9,-99.9,,,34.6,58.1,,
"Turkey:  Demirci, Gordes, Sindirgi, 1969",,"Japan:   Aomori, 1793",,"Indonesia:  Sumatra, 1926",,39.2,28.5,,,40.85,139.95,,,-0.3,100.4,,
"Colombia:  Robador,Simacota,Barichara De Cabrera, 1868",,"Japan:  Sanriku,Rikuzen,Rikuchu, 1793",,"Israel; Jordan: Damiya, 1927",,7,-73,,,38.5,144,,,32,35.5,,
"Virgin Islands; Puerto Rico, 1867",,"Italy:  Casamicciola, 1796",,"Nicaragua:  Managua, 1930",,18.4,-64.3,,,40.5,13.9,,,12.1,-86.2,,
"Ukraine:  Crimea:  Sudak, Feodosia, 1869",,"Mexico:  Oaxaca, 1801",,"China:  Sichuan Province, 1930",,44.75,35,,,17,-96.3,,,30,100,,
"Russia:  Lake Baykal, 2008",,"Japan:  Nw Honshu:  Sado Island, Ogi, 1802",,"Tajikistan:  Dushanbe (Stalinabad), 1930",,51.607,104.158,,,37.7,138.3,,,38.4,68.5,,
"Philippines:  Luzon:  E, 1880",,"Taiwan:  Danshui:  Off West Coast, 1811",,"Japan:  Honshu:  Idu, 1930",,15,121.5,,,25.2,121.3,,,35,139,,
"Chile:  Iquique, Pica; Peru:  Tacna, 1869",,"Peru:  Ica, 1813",,"Turkey:  Kigi, 1935",,-19.6,-70.23,,,-14.1,-75.4,,,39.3,40.6,,
"Philippines:  S Luzon:  Manila; N Mindoro, 1869",,"France:  Chamonix Valley, 1817",,"Colombia, 1936",,13.5,121,,,45.9,6.8,,,1.1,-77.6,,
"Virgin Islands; Puerto Rico:  San Juan, 1867",,"Peru-Chile:  Peru:  Arequipa,Tacna; Chile:  Arica, 1833",,"El Salvador:  San Vicente, 1936",,18.4,-64.3,,,-17.6,-70.8,,,13.2,-88.7,,
"Philippines:  Sw Of Lake Bay, Manila, 1880",,"Japan:  Honshu:  Nw, 1833",,"Iran:  Mohammadabad, 1941",,15,121.5,,,38.9,139.15,,,33.5,58.6,,
"Trinidad; Grenada:  St George'S, 1888",,"Venezuela:  Santa Teresa Del Tuy,Santa Lucia, 1837",,"Taiwan, 1941",,10.3,-61.1,,,10.3,-66.6,,,23.3,120.3,,
"Russia:  Kuril Islands, 1967",,"Venezuela:  Cumana, 1839",,"Turkey:  Hendek, 1943",,45.53,151.11,,,10.5,-64.2,,,40.8,30.5,,
"Philippines:  Se Luzon:  Camarines, Nueva Caceres, 1887",,"New Zealand:  Awatere River, Marlborough, 1848",,"China: Xinjiang Weiwuer Zizhiqu Province, 1943",,13.7,123.3,,,-41.67,174,,,39.3,73.3,,
"Philippines:  Mindanao,Mindoro, 1889",,"Turkey, 1852",,"Turkey:  Anatolia: Ne, 1943",,13.5,121,,,39.9,41.3,,,40,40,,
"Cote D'Ivoire:  Baibu, 1889",,"S. Mexico, 1852",,"Turkmenistan, 1946",,6.8,-6.7,,,17,-100,,,39.3,55.4,,
"Papua New Guinea:  New Britain, 1964",,"Indonesia:  Timor Island::  Dilhi, Gera, 1857",,"Iran:  Dustabad, 1947",,-5.7,150.7,,,-8,115.5,,,33.4,58.7,,
"Alaska:  Cantwell, Denali Natl Park, 2002",,"Ecuador:  Pichincha, 1859",,"Iran:  Torud, 1953",,63.514,-147.912,,,-0.3,-78.5,,,35.4,55.1,,
"Balkans Nw:  Serbia, 1980",,"Mexico:  Puebla,Veracruz,Acultzingo,Acatzingo, 1864",,"Lebanon:  Litani, 1956",,43.294,20.837,,,18.6,-97.5,,,35.5,35.5,,
"Italy:  N, Parma, 1983",,"Taiwan:  Chilung (Keelung), 1867",,"Iran:  Bastak, 1956",,44.689,10.317,,,25.5,121.7,,,27.2,54.4,,
"Mexico:  Jalisco:  San Cristobal, 1885",,"India:  Assam:  Cachar,Silchar, 1869",,"Iran:  Jahrom, 1957",,20.8,-103.4,,,24.5,92.5,,,28.3,53.3,,
"Philippines:  E Mindanao:  Surigao, 1885",,"Venezuela:  San Cristobal,Tachira (Lobatera), 1869",,"Iran, 1958",,9.8,125.5,,,7.5,-72.1,,,36.5,53,,
"Italy:  Sicily:  Santa Venerina, 2002",,"Mexico:  Oaxaca,Zanaguia,San Francisco Ozolotepec, 1870",,"Iran:  Firuzabad, 1958",,37.67,15.267,,,15.4,-96.3,,,34.4,47.9,,
"Tonga Islands, 1881",,"Venezuela:  El Tocuyo, 1870",,"Iran:  Lar, 1960",,None,None,,,9.5,-69.5,,,28,54.5,,
"Papua New Guinea:  New Ireland, 1968",,"Philippines:  Mindanao:  Davao,Blanco, 1870",,"Libya:  Barce (Al Marj), 1963",,-5.5,153.2,,,7,125.4,,,32.6,21,,
"Philippines:  W. Luzon Island, 1915",,"Chile:  Ligua, Quillolta, 1873",,"Taiwan:  Tainan, 1964",,18,119.5,,,-32.3,-71.16,,,23.2,120.6,,
"Greece:  Crete, Palaeochora, Chania, 1973",,"Turkey, 1881",,"Chile:  Central, 1965",,35.18,23.8,,,40.6,33.6,,,-32.4,-71.2,,
"Balkans Nw:  Serbia, 1983",,"Mexico:  Puebla,Huahuapan,Huamuxtitlan,Xalpatlahuac, 1882",,"Uganda:  Kichwamba, Bondibogyo, 1966",,43.246,20.859,,,17.5,-98.3,,,0.6,30.2,,
"Prince William Sound, 1911",,"Italy, 1882",,"Italy:  Sicily, 1968",,60.5,-149,,,40.9,14.4,,,37.9,13.1,,
"Guam, 2001",,"Mexico:  Bavispe, 1887",,"Philippines:  Luzon:  Manila, 1968",,12.686,144.98,,,31,-109,,,16.5,122.2,,
"Italy, 1940",,"China:  Bohai Gulf, 1888",,"Iran:  Ferdow, 1968",,38.1,13.5,,,38.5,119,,,34,58.2,,
"Japan:  Ofunato, Tohoku, 1978",,"Japan:  Kumamoto, 1889",,"Indonesia:  Bali, 1976",,38.78,141.95,,,32.8,130.7,,,-8.17,114.888,,
"China:  Liaoning Province, 1940",,"Iran:  Quchan, 1894",,"Iran:  Bandar Abbas, 1977",,40.2,122,,,37.1,58.3,,,27.61,56.39,,
"Japan:  Miyakejima, Oshima, 1983",,"Japan:  Tokyo, 1894",,"Iran:  Naghan,Ardal,Jaghdan,Dastgerd,Kordan,Sarmur, 1977",,33.941,139.513,,,35.7,139.9,,,31.98,50.68,,
"California:  Central, Coalinga, 1983",,"China:  Xinjiang, 1896",,"Iran:  Bab-Tangol, 1977",,36.219,-120.317,,,38,76,,,30.95,56.47,,
"Kazakhstan:  Alma-Ata, 1978",,"Japan:  Off Northeast Coast Honshu, 1901",,"Iran:  Bonzanabad, 1979",,42.839,78.606,,,40.6,142.3,,,33.897,59.472,,
"Iceland, 1934",,"Mexico:  Guerrero, 1902",,"Iran:  Khorasan, 1979",,66,-18.25,,,17.6,-99.7,,,33.918,59.741,,
"California:  Central:  Morgan Hill, 1984",,"Iran:  Qeshm,Bandar Abbas, 1902",,"Nepal-India:   Pithoragarh, 1980",,37.32,-121.698,,,26.6,56.2,,,29.598,81.092,,
"Papua New Guinea:  Karkar, 1984",,"Israel:  Nabulus, 1903",,"Indonesia:  New Guinea:  Irian Jaya: Jayawijaya Mts, 1981",,-4.647,145.805,,,32.2,35.3,,,-4.576,139.232,,
"Hawaii: Kapapala, 1983",,"Taiwan:  Jiayi, 1904",,"Pakistan: Gilgit, 1981",,19.43,-155.454,,,23.5,120.5,,,35.693,73.594,,
"Cuba: Santa Clara, 1939",,"Japan:  Aki, 1905",,"Afghanistan:  Northeastern, 1982",,22.2,-79.1,,,34,132,,,36.148,69.011,,
"Indonesia:  N Sumatera:  Batu I,Padang,Sibolga, 1935",,"Taiwan:  Jiayi, 1906",,"Indonesia:  Timor:  Pantar, Mount Sirung, 1987",,       ,98.25,,,23.4,120.4,,,-8.247,124.155,,
"Papua New Guinea:  Keravia, Rabaul, Kokopo, 1937",,"Mexico:  Guerrero, 1907",,"Iran:  Do Gobadan, Fars, Yasuj, 1989",,-4.271,152.203,,,17,-100,,,30.167,50.921,,
"Indonesia:  Sumabawa:  Bima,Raba, 1954",,"Taiwan:  Taipei, 1909",,"Indonesia:  Kurima District, Baliem River, 1989",,-8,119,,,25,121.5,,,-4.511,139.022,,
"Japan:  Honshu:  S Coast, 1980",,"Pakistan, 1909",,"China:  Qinghai Province:  Ganghe-Xinghai, 1990",,34.808,139.181,,,35.5,72.5,,,35.986,100.245,,
"Russia:  Kuril Islands, 1978",,"Japan:  Oomi, 1909",,"Egypt:  Cairo, 1992",,44.592,146.581,,,35.4,136.3,,,29.778,31.144,,
"Afghanistan:  Hindu-Kush, West Punjab, 1949",,"Taiwan, 1909",,"Indonesia:  Southern Sumatera, Liwa, Lampung, 1994",,36,70.5,,,24.4,121.8,,,-4.967,104.302,,
"Australia:  Adelaide:  S, 1954",,"Zambia, 1910",,"Colombia:  Cauca, Huila, 1994",,-34.9,138.7,,,-8,31,,,2.917,-76.057,,
"Germany, 1978",,"Mexico:  Michoacan, 1911",,"Algeria:  Mascara, 1994",,48.29,9.01,,,17.5,-102.5,,,35.52,-0.106,,
"China:  Xinjiang Weiwuer Zizhiqu Province: Wuqua S, 1983",,"Japan:  Ryukyu Islands, 1911",,"Bolivia:  Central:  Aiquile, Totora, 1998",,39.945,75.135,,,28,130,,,-17.731,-65.431,,
"Italy:  S, 1980",,"Iran:  Teyhan, 1913",,"Afghanistan:  Hindu Kush:  Samanghan, Kabul, Rustaq, 2002",,40.459,15.855,,,26.8,53.7,,,36.502,70.482,,
"China:  Shanxi Province, 1952",,"Japan:  Sakurijima, 1914",,"Afghanistan:  Hindu Kush:  Baghlan, Nahrin, 2002",,39,112.7,,,31.58,130.67,,,36.062,69.315,,
"China:  Yunnan Province, 1950",,"Indonesia:  Sumatera, 1914",,"China:  S. Xinjiang:  Bachu, 2003",,23.5,103.1,,,-3.924,101.82,,,39.61,77.23,,
"Balkans Nw:  Macedonia:  Debar, 1979",,"Peru:  Caraveli,Nazca,Ica,Atico, 1914",,"Turkey:  Bingol, 2003",,42.255,18.752,,,-15.5,-73.2,,,39.007,40.464,,
"Turkey, 1942",,"California:  El Centro, 1915",,"Iran:  Kerman Province:  Zarand, 2005",,40.8,35.1,,,32.8,-115.5,,,30.754,56.816,,
"China:  Yunnan Province, 1952",,"El Salvador:  Ahuachapan,Ataco,Apaneca, 1915",,"Pakistan:  Quetta, 2008",,22.9,99.7,,,14.56,-88.76,,,30.639,67.351,,
"Fiji Islands:  Rabi,Tunuloa Mission,Suvasavu, 1919",,"Taiwan, 1916",,"Italy:  L'Aquila, 2009",,-16.5,180,,,24,121,,,42.334,13.334,,
"China:  Yunnan Province, 1955",,"Chile:  Copiapo, 1918",,"New Zealand:  Christchurch, Lyttelton, 2011",,26.5,101.1,,,-26,-71,,,-43.583,172.68,,
"New York:  Massena, 1944",,"Taiwan, 1920",,"India:  Sikkim, 2011",,44.957,-74.723,,,23.5,122.7,,,27.73,88.155,,
"Cameroon:  Congo; Central African Republic, 1945",,"Taiwan, 1922",,"Turkey:  Ercis, Van, 2011",,2.5,15.6,,,24.5,122,,,38.722,43.513,,
"Egypt:  Aswan, 1981",,"Japan:  Kyushu, 1922",,"Iran:  Ahar, Haris, Varzagan, 2012",,23.686,32.604,,,32.7,130.3,,,38.329,46.826,,
"Balkans Nw:  Bosnia-Herzegovina:  Banja Luka, 1981",,"Japan:  Sagami, 1924",,"China:  Sichuan Province:  Longmen, 2013",,44.849,17.312,,,35.5,139.5,,,30.308,102.888,,
"Philippines:  Nw Panay, Sw Tablas, Carabao I, 1919",,"Ecuador, 1924",,"Pakistan:  Awaran, Kech, 2013",,12,122,,,-1.6,-78.6,,,26.971,65.52,,
"Italy:  Tyrrhenian Sea, 1919",,"California:  Santa Barbara, 1925",,"Philippines:  Bohol, Cebu, 2013",,41.4,12.6,,,34.5,-119.6,,,9.866,124.011,,
"Indonesia:  Irian Jaya Region, 1919",,"Iran:  Ahram,Domrubah,Mahmudabadi,Ab Garm, 1925",,"China:  Yunnan:  Ludian:   Longtoushan, Zhaotong, 2014",,-2.55,140.75,,,28.5,51.2,,,27.245,103.427,,
"Indonesia:  Sangkulirang,Rending,Kariorang,Sekuran, 1921",,"Azores:  Fayal Island, 1926",,"Nepal:   Dolakha, 2015",,0.7,117.9,,,38.5,-28,,,27.837,86.077,,
"Balkans Nw:  Serbia, 1984",,"Taiwan, 1927",,,,43.314,20.957,,,23,120.5,,,,,,
"France:  Correncon,Chateau-Bernard,Le Gua,Rencurel, 1962",,"Iran:  Nehbandan, 1928",,,,45,5.6,,,31.6,60,,,,,,
"Greece:  Ionian Sea:  Kilini, Vartholomion, 1988",,"Mexico:  Oaxaca, 1928",,,,37.938,20.932,,,16.028,-97.036,,,,,,
"Guam, 1892",,"New Zealand:  South Island, 1929",,,,14,143.3,,,-41.75,172.25,,,,,,
"Central African Republic:  Nola, 1921",,"Iran:  Faruj, 1929",,,,3.8,16.3,,,37.5,58,,,,,,
"China:  Xinjiang, 1962",,"Iran:  Masjed Soleyman,Andarkah, 1929",,,,44.68,81.58,,,32.2,49.7,,,,,,
"Guam, 1909",,"Myanmar (Burma):  Tharrawaddy, 1930",,,,12.5,145,,,17.4,95.5,,,,,,
"Switzerland, 1346",,"Iran:  Ah,Mobarakabad,Ab Ali,Sarpurak, 1930",,,,47.5,7.6,,,35.8,52.1,,,,,,
"Balkans Nw:  Bosnia-Herzegovina:  Titograd, 1990",,"Myanmar (Burma):  Pyu, 1930",,,,43.853,16.633,,,18.2,96.4,,,,,,
"Vanuatu Islands:  Luganville, Lamap, 1973",,"Taiwan:  Tainan, 1930",,,,-15.12,166.9,,,23.2,120.6,,,,,,
"Tasman Sea, 1913",,"Japan:  Honshu, 1931",,,,-41.8,171.5,,,36.1,139.2,,,,,,
"Philippines:  E Mindanao:  Manay, 1921",,"Japan:  Kyushu, 1931",,,,7,126,,,32,131.5,,,,,,
"Antigua And Barbuda; St Kitts, 1974",,"Cuba: Santiago De Cuba, 1932",,,,17.3,-62,,,20,-75.8,,,,,,
"France:  St Paul D'Ubaye,Jausiers,Ceillac,Vars, 1959",,"Iran:  Bahabad,Aliabad,Rahimabad,Khairabad, 1933",,,,44,6.8,,,32.1,56,,,,,,
"Philippines:  Panay:  Panay,Maasin, 1916",,"Taiwan:  Yilan, 1934",,,,11.1,122.3,,,24.8,121.5,,,,,,
"China:  Qinghai Province, 1963",,"Turkey:  Kurdistan:  Diyarbakir (Diarbekir), 1934",,,,35.7,97,,,37.919,40.211,,,,,,
"Balkans Nw:  Slovenia:  Brezice, 1917",,"Japan:  Honshu, 1935",,,,45.9,15.6,,,35,138,,,,,,
"Philippines:  Sabtan,Batan, 1915",,"Iran:  Abiz, Sarbisheh, 1936",,,,11.3,122.3,,,33,60,,,,,,
"Costa Rica:  Puntarenas, San Jose, 1990",,"South Korea, 1936",,,,9.919,-84.808,,,35.2,127.6,,,,,,
"Papua New Guinea:  New Britain:  Kandrian, Kimbte, 1987",,"Chile:  Taltal, 1936",,,,-6.266,149.06,,,-24.5,-70,,,,,,
"California:  Northern, 1923",,"Colombia:  Pasto, 1936",,,,40.8,-124.5,,,1.2,-77.3,,,,,,
"Tunisia:  Gafour,Oum-Zid,El Akhouat, 1962",,"Taiwan, 1936",,,,36,9,,,22.3,120.8,,,,,,
"California:  S:  Off Coast, 1927",,"Japan:  Nii Jima, 1936",,,,34.813,-120.774,,,34.4,139.2,,,,,,
"China:  Yunnan Province:, 1930",,"Mexico:  Central, Puebla:  Esperanza, Veracruz, 1937",,,,25.8,98.4,,,18.8,-97.5,,,,,,
"Uk:  Scarborough, Grimsby, 1931",,"Mexico:  Guerrero:  Ometepec, 1937",,,,54,1.067,,,16.7,-98.5,,,,,,
"Sw. Sumatra, 1931",,"Japan:  Near E Coast Honshu, 1938",,,,-5,102.75,,,37.1,141.7,,,,,,
"Indonesia:  Sumatera,Sinurat,Talu, 1977",,"Papua New Guinea:  Bougainville Island, 1939",,,,0.45,100.02,,,-7.08,155.386,,,,,,
"China:  Yunnan Province, 1952",,"Japan:  Honshu:  Nw, 1939",,,,22.7,99.8,,,40.1,139.5,,,,,,
"Turkey:  Koycegiz, Mugla, 1959",,"Peru:  Pomacanchi, 1939",,,,37,28.7,,,-12.5,-72,,,,,,
"Philippines:  Sw Mindoro, 1928",,"Turkey-Cis, 1940",,,,12.4,120.9,,,41.7,43.8,,,,,,
"Italy:  Porto San Giorgio-Permo-Pdeaso Area, 1987",,"Papua New Guinea:  Bismarck Sea, 1941",,,,43.242,13.874,,,-4.175,152.071,,,,,,
"Papua New Guinea:  Bismarck Sea: Bougainville, 1975",,"India:  Andaman Islands,Madras; Sri Lanka:  Colombo, 1941",,,,-6.59,155.054,,,12.5,92.5,,,,,,
"China:   Yunnan Province, 1961",,"Balkans Nw:  Bosnia-Herzegovina, 1943",,,,27.73,99.75,,,44.3,17,,,,,,
"Balkans Nw:  Bosnia-Herzegovina: Strmica, Knin, 1986",,"Chile:  Illapel, 1943",,,,44.12,16.339,,,-30.75,-72,,,,,,
"China:   Yunnan Province, 1961",,"China:  Xinjiang Province, 1944",,,,24.97,98.63,,,44,84,,,,,,
"California:  Oroville, 1975",,"Iran:  Garmsar,Kerand,Bankuh, 1945",,,,39.439,-121.528,,,35.2,52.1,,,,,,
"Montana:  Clarkston Valley, 1925",,"Chile:  Northern, 1946",,,,46.4,-111.24,,,-26.5,-70.5,,,,,,
"New Zealand:  Dannevirke,  Wellington, 1990",,"Dominican Republic:  Northeastern Coast, 1946",,,,-40.296,176.064,,,19.25,-69,,,,,,
"Indonesia:  Central Sulawesi:  Una-Una Island, 1960",,"Mexico:  Maria Madre Island, 1948",,,,-0.5,121.5,,,22,-106,,,,,,
"Indonesia:  New Guinea:  Irian Jaya:  Manokwari, 1985",,"Chile:  Tierra Del Fuego, 1949",,,,-1.639,134.911,,,-54,-71,,,,,,
"Romania, 1821",,"Chile:  Tierra Del Fuego, 1949",,,,45.7,26.6,,,-54,-71,,,,,,
"Algeria:  Bou-Medfa, 1959",,"Iran: Bushire, 1950",,,,36.4,2.6,,,27.3,53.2,,,,,,
"Iran:  Bodzhnurd, 1923",,"Turkey, 1950",,,,37.6,57.3,,,40,40,,,,,,
"Idaho:  Pocatello Valley, 1975",,"Peru:  Ica,Chimbote,Huaraz,Cajamarca,Cuzco,Moquegua, 1950",,,,42.06,-112.55,,,-14.25,-75.75,,,,,,
"Kermadec Islands, 1976",,"Mexico:  Oaxaca:  Miahiatlan, 1951",,,,-29.208,-177.886,,,16.1,-96.8,,,,,,
"Iran:  Alamut-Jenat Rudbar-Dailaman, 1485",,"Taiwan, 1951",,,,36.9,49.9,,,22.9,121.5,,,,,,
"Uzbekistan:  Samarkand, 1490",,"Costa Rica, 1952",,,,39.4,67.1,,,10.3,-83.5,,,,,,
"France:  Lantosque,Roquebilliere,Nice, 1494",,"Iran:  Goder, 1953",,,,43.4,7.1,,,28.5,52.3,,,,,,
"Puerto Rico:  San Juan; St Thomas, 1844",,"Haiti, 1953",,,,18.3,-66.8,,,18.4,-73.4,,,,,,
"Iran:  Dughabad (Se Kashmar), 1611",,"Iran:  Khan-E-Zenyan,Khatiri, 1953",,,,35.1,58.9,,,29,52,,,,,,
"Balkans Nw:  Slovenia:  Bled,Slatna,Begunje, 1509",,"Turkey:  Edirne, 1953",,,,46.4,14.1,,,41.4,26.3,,,,,,
"China:  Yunnan Province, 1512",,"Fiji Islands, 1953",,,,25,98.5,,,-18.3,178.2,,,,,,
"Argentina:  Salta, Jujuy, Tucuman, 1844",,"Japan:  Kashima, 1953",,,,-25,-66,,,34,141.7,,,,,,
"Peru, 1513",,"Chile:  Northern, 1953",,,,-17.2,-72.3,,,-22.1,-68.7,,,,,,
"China:  Ningxia:  Zhongwei, 1495",,"Mexico:  Chiapas, 1954",,,,37.6,105.6,,,17.3,-92.6,,,,,,
"Switzerland, 1391",,"Greece, 1954",,,,47.4,7.2,,,39.8,22.1,,,,,,
"Balkans Nw:  Slovenia:  Styria, 1201",,"Iran:  Tonbak,Kangan,Sabakhi,Akhtar, 1954",,,,46.4,15.3,,,27.5,52,,,,,,
"Greece:  Khadra,Khios, 1863",,"Pakistan:  Quetta, 1955",,,,38.25,26.25,,,30.5,67,,,,,,
"Turkey: Istanbul (Constantinople), 1231",,"Costa Rica, 1955",,,,41,28.6,,,10,-84.5,,,,,,
"Switzerland, 1755",,"Egypt:  Nile Delta, 1955",,,,46.3,8,,,32.2,29.6,,,,,,
"Indonesia:  Java: Djakarta; Sumatra: Telukbetung, 1852",,"Peru:  Mungui,La Union Prov,Arequipa,Toro,Cotahuasi, 1955",,,,-6.5,105.5,,,-16.2,-71.3,,,,,,
"Massachusetts:  East Of Cape Ann, 1755",,"Hungary, 1956",,,,42.7,-70.3,,,47.5,19.3,,,,,,
"South Korea:  Kyongsang-Do, 1553",,"Spain, 1956",,,,35.8,128.8,,,37,-4,,,,,,
"China:  Hebei:  Huailai, 1337",,"Myanmar (Burma), 1956",,,,40.4,115.7,,,22.2,95.7,,,,,,
"Ukraine:  Crimea, 1341",,"Tunisia:  Sidi Abid,Sidi Touil (La Medja),Cailloux, 1957",,,,44.3,34.3,,,36.2,8.9,,,,,,
"Chile:  Coquimbo, 1849",,"Taiwan:  Hualien, Taipei, 1957",,,,-29.95,-71.37,,,23.9,121.6,,,,,,
"North Korea:  Kaesong, 1385",,"Iran:  Kachu Mesqal, 1957",,,,37.6,126.3,,,33.4,52.5,,,,,,
"China:  Jilin Province, 1960",,"Peru:  S, 1958",,,,44.7,127,,,-18,-65,,,,,,
"Iran: Tabriz, 1304",,"Chile-Argentina, 1958",,,,38.5,45.5,,,-33.5,-69.5,,,,,,
"Indonesia:  Banda Sea, 1841",,"Iran, 1958",,,,-4,127.5,,,36,49,,,,,,
"Azerbaijan:  Shemakha (Semacha), 1828",,"Taiwan:  Taipei, 1959",,,,40.7,48.4,,,24.78,122.7,,,,,,
"Philippines:  Manila, 1828",,"Chile-Bolivia, 1959",,,,14.55,120.9,,,-20.369,-68,,,,,,
"Balkans Nw:  Slovenia:  Krisko,Brestanica, 1628",,"Taiwan, 1959",,,,46,15.5,,,22.18,121.13,,,,,,
"Hungary:  Pishkol'T, Erendreyd, Dengeleg, 1834",,"Mexico:  Gulf Of Campeche, 1959",,,,47.6,22.3,,,18.3,-94.4,,,,,,
"Philippines:  Luzon:  S, 1648",,"Turkey:  Ninia, 1959",,,,15,121,,,39.1,41.6,,,,,,
"South Korea:  Kwangju,Sunchang,Unkyo,Kosan, 1670",,"China:  Xingjiang, 1959",,,,35.9,126.5,,,38.75,75.317,,,,,,
"Philippines:  Mindoro Island, Luzon Island, 1675",,"Algeria:  Melouza, 1960",,,,13,121,,,36,4.1,,,,,,
"Italy:  Messina, 1649",,"Chile:  Central, 1960",,,,38.183,15.55,,,-37.872,-73.243,,,,,,
"Ecuador:  Quito, 1627",,"Greece-Albania, 1960",,,,-0.2,-78.5,,,40,20,,,,,,
"France:  Moncontour,Loudun, 1711",,"Ecuador, 1960",,,,47,0.1,,,-1.5,-79,,,,,,
"Turkey:  Antakya; Lebanon:  Hims; Iraq:  Mosul, 846",,"Congo:  Lake Tanganyika, 1960",,,,36.1,36.1,,,-3.6,29,,,,,,
"Philippines:  Manila, 1599",,"Philippines:  Panay, 1960",,,,14.6,121,,,11.1,122.3,,,,,,
"Venezuela:  Cariaco,Island Of Margarita, 1823",,"Chile:  Concepcion, 1960",,,,10.5,-63.8,,,-38.5,-75.1,,,,,,
"South Korea:  Suwon, 1613",,"Japan:  Miyazaki, 1961",,,,37.2,127,,,31.6,131.8,,,,,,
"Peru, 1609",,"Italy:  Sicily, 1961",,,,-11.9,-77.4,,,38,15.3,,,,,,
"Romania:  Carpathian Fold,Vrancea, 1838",,"Iran, 1961",,,,45.7,26.6,,,33.5,49.4,,,,,,
"Switzerland, 1610",,"Japan:  Honshu:  W Coast, 1961",,,,47.5,7.5,,,36,136.7,,,,,,
"Switzerland, 1720",,"Iran, 1961",,,,47.4,9.5,,,33.6,48.1,,,,,,
"France:  Chinon, 1593",,"Chile:  Valdivia, Curico, 1961",,,,47.1,0.1,,,-36.7,-73,,,,,,
"Ukraine:  Black Sea, 1615",,"Colombia, 1961",,,,44.9,35.5,,,4.6,-75.6,,,,,,
"Guam; Northern Mariana Islands:  Ladrones Island, 1825",,"Balkans Nw:  Croatia, 1962",,,,14,143.3,,,43.3,17.1,,,,,,
"France:  Duranus,Coaraze,Roquesperviera,Saorge, 1618",,"Balkans Nw:  Croatia, 1962",,,,43.6,7.3,,,43.3,17.1,,,,,,
"Greece:  Patras, 1714",,"Albania, 1962",,,,38.2,21.7,,,40.9,19.5,,,,,,
"Switzerland, 1616",,"Peru:  Casma,Huaraz,Quiruvilca,Trujillo, 1962",,,,46.8,8.4,,,-10,-79,,,,,,
"South Korea:  Kyongju, 123",,"Japan:  Honshu:  Sendai, 1962",,,,35.8,129.2,,,38.8,140.9,,,,,,
"California:  San Francisco,San Jose,Santa Clara, 1838",,"Mexico:  S, 1962",,,,37.6,-122.4,,,17.2,-99.5,,,,,,
"Armenia:  Dvin, 856",,"Colombia:  Mistrato, Manizales, 1962",,,,40,44.6,,,5.2,-76.4,,,,,,
"Spain:  Almeria:  Dalias, 1804",,"Italy:  S, 1962",,,,36.833,-2.833,,,41.4,15.5,,,,,,
"Iraq:  Baghdad, 860",,"Greece:  S, 1962",,,,33,44.5,,,37.8,22.9,,,,,,
"Togo:  Agunah, Kana; Benin:  Abomey, 1788",,"Taiwan:  Taipei, Hsinch, 1963",,,,7.6,1.7,,,24.5,122.1,,,,,,
"Italy:  Tyrrhenian Sea, 1806",,"Iran:  Hendojan, 1963",,,,41.7,12.7,,,37,57.9,,,,,,
